id,name,now_cost,position,team,goals_scored,bonus,form,in_dreamteam,expected_assists_per_90,cost_change_start_fall,red_cards,penalties_saved,points_per_game_rank_type,yellow_cards,starts,ep_this,direct_freekicks_order,news,news_added,expected_goal_involvements_per_90,ict_index_rank,value_season,cost_change_start,dreamteam_count,transfers_in_event,threat,creativity,minutes,creativity_rank_type,expected_goals,selected_rank_type,selected_by_percent,transfers_out_event,cost_change_event_fall,goals_conceded_per_90,expected_goal_involvements,chance_of_playing_next_round,points_per_game,creativity_rank,expected_assists,total_points,influence_rank_type,saves,threat_rank,ep_next,own_goals,now_cost_rank_type,points_per_game_rank,clean_sheets,chance_of_playing_this_round,goals_conceded,transfers_out,expected_goals_per_90,form_rank_type,expected_goals_conceded_per_90,threat_rank_type,saves_per_90,now_cost_rank,web_name,assists,cost_change_event,event_points,starts_per_90,bps,ict_index,clean_sheets_per_90,form_rank,corners_and_indirect_freekicks_order,penalties_order,ict_index_rank_type,transfers_in,status,penalties_missed,selected_rank,influence,expected_goals_conceded,value_form,influence_rank
513,Clément Lenglet,48,DEF,Spurs,0,3,0.2,False,0.06,2,0,0,113,2,11,0.7,,,2022-08-12T14:00:05.943518Z,0.12,242,5.2,-2,0,78,72.0,84.0,934,62,0.61,108,0.3,539,0,2.02,1.23,100.0,1.9,219,0.60,25,74,0,240,0.7,0,43,307,1,100.0,21,62623,0.06,131,1.4,60,0.0,285,Lenglet,2,0,0,1.06,175,37.2,0.1,385,,,79,37608,a,0,302,216.6,14.58,0.0,197
522,Djed Spence,41,DEF,Spurs,0,0,0.0,False,0.0,4,0,0,156,0,0,0.0,,Season-long loan to Stade Rennais,2023-02-01T12:28:32.472607Z,1.08,462,1.0,-4,0,0,20.0,1.3,5,162,0.06,135,0.2,297,0,0.0,0.06,0.0,1.0,451,0.00,4,179,0,369,0.0,0,185,430,0,0.0,0,58985,1.08,191,8.46,131,0.0,629,Spence,0,0,0,0.0,10,2.2,0.0,494,,,163,14538,u,0,360,0.2,0.47,0.0,506
554,Bryan Gil Salvatierra,50,MID,Spurs,0,0,0.0,False,0.05,0,0,0,108,1,2,0.0,,Season-long loan to Sevilla,2023-01-31T23:19:21.822718Z,0.1,396,1.8,0,0,0,27.0,27.5,146,175,0.10,220,0.0,90,0,0.62,0.17,0.0,2.2,343,0.08,9,174,0,347,0.0,0,125,261,1,0.0,1,9319,0.06,297,0.55,167,0.0,220,Bryan,1,0,0,1.23,22,8.5,0.62,702,,,176,8025,u,0,558,30.4,0.90,0.0,400
713,Arnaut Danjuma,65,MID,Spurs,0,0,0.5,False,0.16,0,0,0,234,0,0,1.0,,,,0.16,463,0.2,0,0,371,0.0,14.8,11,199,0.00,221,0.0,421,0,8.18,0.02,,1.0,391,0.02,1,210,0,743,1.0,0,29,506,0,,1,1384,0.0,144,1.06,321,0.0,58,Danjuma,0,0,1,0.0,6,2.1,0.0,322,,,213,4467,a,0,561,6.0,0.13,0.1,463
733,Pedro Porro,50,DEF,Spurs,0,0,0.5,False,0.02,0,0,0,175,0,1,1.0,,,,0.02,469,0.2,0,0,1369,0.0,4.8,75,151,0.00,119,0.3,1419,0,3.6,0.02,,1.0,430,0.02,1,163,0,724,1.0,0,30,492,0,,3,4293,0.0,114,1.69,252,0.0,223,Pedro Porro,0,0,1,1.2,7,1.3,0.0,319,,,166,32624,a,0,329,8.0,1.41,0.1,455
30,Danny Ings,64,FWD,West Ham,6,10,1.0,False,0.06,6,0,0,23,3,8,0.5,,,2023-01-26T10:00:07.807288Z,0.63,78,9.4,-6,2,727,441.0,134.4,863,22,5.52,29,1.3,3091,0,1.36,6.06,100.0,2.9,165,0.54,60,13,0,37,0.5,0,26,183,2,100.0,13,465253,0.58,35,1.38,17,0.0,61,Ings,0,0,1,0.83,202,85.7,0.21,277,,,15,355504,a,0,159,285.2,13.20,0.2,135
455,Lukasz Fabianski,50,GKP,West Ham,0,7,3.7,False,0.0,0,0,1,17,0,22,3.2,,,2022-10-30T20:30:07.187706Z,0.0,202,15.6,0,0,472,0.0,0.0,1873,75,0.00,27,1.2,1294,0,1.2,0.00,100.0,3.5,721,0.00,78,13,64,714,3.2,0,6,100,4,100.0,25,194294,0.0,10,1.06,72,3.08,199,Fabianski,0,0,3,1.06,366,46.1,0.19,69,,,14,169577,a,0,166,462.0,22.09,0.7,38
456,Angelo Ogbonna,44,DEF,West Ham,0,1,3.7,False,0.01,1,0,0,81,0,5,3.2,,,2022-10-13T22:30:06.892822Z,0.04,374,3.6,-1,0,120,14.0,22.1,475,129,0.14,175,0.1,273,0,1.14,0.20,100.0,2.3,368,0.07,16,132,0,387,3.2,0,97,233,1,100.0,6,9734,0.03,22,1.03,138,0.0,468,Ogbonna,0,0,2,0.95,84,11.4,0.19,66,,,134,4823,a,0,460,77.2,5.45,0.8,321
457,Aaron Cresswell,48,DEF,West Ham,0,3,0.0,False,0.13,2,0,0,87,2,17,-0.5,1.0,Illness - 75% chance of playing,2023-02-12T00:30:09.041835Z,0.14,79,8.8,-2,0,76,66.0,478.9,1533,5,0.28,52,1.4,3679,0,1.29,2.40,75.0,2.3,22,2.14,42,37,0,254,-0.4,0,38,241,3,100.0,22,524131,0.02,243,1.17,71,0.0,270,Cresswell,0,0,0,1.0,295,85.3,0.18,669,1.0,,7,352225,d,0,153,305.8,19.88,0.0,114
458,Michail Antonio,70,FWD,West Ham,2,3,3.0,False,0.04,5,0,0,35,1,11,2.5,,,2022-12-20T01:00:07.552320Z,0.31,118,6.7,-5,0,684,354.0,141.4,1043,19,3.18,28,1.4,1516,0,1.21,3.63,100.0,2.2,153,0.43,47,24,0,55,2.5,0,19,267,2,100.0,14,525967,0.27,10,1.22,20,0.0,40,Antonio,2,0,2,0.95,123,66.3,0.17,99,,,19,204857,a,0,152,170.8,14.16,0.4,238
460,Manuel Lanzini,51,MID,West Ham,0,0,0.0,False,0.06,4,0,0,225,0,1,-0.5,,,2023-01-08T00:00:08.784909Z,0.1,458,1.0,-4,0,20,16.0,6.1,121,208,0.06,148,0.1,59,0,1.49,0.14,100.0,1.0,423,0.08,5,217,0,384,-0.5,0,101,494,0,100.0,2,34637,0.04,299,1.16,190,0.0,178,Lanzini,0,0,0,0.74,13,2.5,0.0,704,,1.0,210,13957,a,0,418,4.4,1.56,0.0,472
